도명,지점명,지점코드,위도,경도,고도,관측시작일
경상남도,김해시 전하동,621100A001,35.21431,128.86962,5.0,2010-12-21
경상남도,밀양시 상남면,627911A001,35.44802,128.75794,7.0,2010-09-06
경상남도,사천시 용현면,664951A001,35.03698,128.06766,188.0,2012-07-04
경상남도,진주시 초전동,660985B001,35.20538,128.11697,23.0,2011-09-08
경상남도,창녕군 대지면,635821A001,35.55139,128.47668,36.0,2014-06-10
경상남도,창원시 대산면,051394A001,35.34259,128.70779,5.0,2009-05-01
경상남도,통영시 광도면,650821A001,34.87562,128.41228,42.0,2010-09-30
경상남도,하동군 적량면,667831A001,35.07943,127.76967,35.0,2011-06-15
경상남도,하동군 화개면,052304A001,35.1625,127.6493,,2021-12-21
경상남도,합천군 용주면,678806A001,35.55128,128.11239,49.0,2011-10-01
제주도,서귀포 감산리,063531B010,33.26108,126.35497,125.4,2014-04-25
제주도,서귀포 중문동,063550B007,33.26633,126.4322,163.8,2014-04-25
제주도,서귀포 하례리,699946A001,33.28899,126.61167,142.0,2007-01-01
제주도,제주시 곽지리,695913A001,33.44925,126.32239,87.0,2021-08-31
제주도,제주시 김녕리,695971A001,33.5502,126.75055,36.0,2007-01-01
제주도,제주시 상귀길,695909B001,33.45941,126.40391,102.0,2007-01-01
제주도,제주시 세화리,063352B012,33.51083,126.84355,36.0,2017-06-30
제주도,제주시 송당리,063355A013,33.45618,126.78007,236.0,2023-12-03
제주도,제주시 애월읍,063057B009,33.44772,126.4123,199.1,2014-05-01
제주도,제주시 월각로,695907A001,33.37691,126.32979,308.0,2007-01-01
제주도,제주시 조천읍,063336B011,33.3171,126.3749,37.5,2013-05-01
제주도,제주시 한동리,053359B008,33.53483,126.83234,9.0,2007-01-01
제주도,제주시 한림읍,695923A001,33.35354,126.24793,19.0,2007-01-01
서울,서울시 서초구,137180A001,37.46541,127.08996,58.0,2012-05-26
부산,부산시 강서구,618803A001,35.20937,128.96128,3.0,2010-12-20
인천,옹진군 백령면,409911A001,37.95742,124.71063,11.0,2014-12-18
인천,옹진군 영흥면,409871A001,37.25288,126.46034,11.0,2012-05-26
울산,울주군 청량읍,689861A001,35.52411,129.26704,51.0,2009-03-02
국립농업과학원,거창군 동변리,050124D004,35.72051,127.90142,288.4,2016-06-03
국립농업과학원,남원시 운봉읍,590834E001,35.43851,127.52843,471.0,2005-11-14
국립농업과학원,밀양시 산내면,050415C005,35.59446,128.95468,258.0,2017-04-19
국립농업과학원,부안군 계화면,579824E001,35.77281,126.66958,7.0,2000-07-31
국립농업과학원,수원시 서둔동,441707D001,37.2736,126.99299,46.0,2013-03-21
국립농업과학원,완주군 이서면,323891D002,35.82881,127.04559,32.0,2013-11-21
국립농업과학원,의성군 옥산면,037322D007,36.41577,128.79888,182.7,2017-11-09
국립농업과학원,태백시 매봉산,026002D003,37.22308,128.96514,1153.0,2015-12-16
국립식량과학원,강릉 안반덕이,210913E001,37.61906,128.73748,1099.0,2012-07-12
국립식량과학원,무안군 청계면,534833E001,34.96849,126.45608,30.0,2010-12-17
국립식량과학원,상주시 화서면,741862E001,36.43992,127.94446,294.0,2010-12-17
국립식량과학원,연천군 신서면,486831E011,38.17157,127.10334,126.0,2014-12-15
국립식량과학원,영덕군 병곡면,766851E001,36.56831,129.39595,17.0,2007-04-01
국립식량과학원,태백 귀네미골,235270E001,37.33551,129.00528,728.0,2011-03-10
